"RucProveedor","CodProducto","Producto","UnidaMedidaCompra","CostoCaja"
"20100035121","801211",BIZCOCHO CHOCMAN SIXPACK 14X6X28 GR.,CAJA,44.030471
"20100035121","801141",FANNY DELI FRESA 9X12X75GR.,CAJA,97.445294
"20100035121","801019",MOLITALIA CARACOL CHICO 79 20X250GR,BOLSA,25.857500
"20100035121","801288",WAFER SABOR LUCUMA  32X105 GR.,CAJA,48.925000
"20100035121","801267",GALLETA CHOCODONUTS 16X204GR.,CAJA,94.702000
"20100035121","801291",FANNY MERMELADA FRESA VASO 12X290 GR.,CAJA,48.354750
"20100035121","801300",ZEUS ADULTOS RAF 18KG,BOLSA,70.110000
"20100035121","801143",FANNY FILETE ATUN ACEIT VEG.48X140 GR.,CAJA,215.630613
"20100035121","801216",GRAN CEREAL CLASICA 16X6X36 GR.,CAJA,46.645000
"20100035121","801145",FANNY TROZO ATUN ACEIT VEG.48X140 GR.,CAJA,202.877727
"20100035121","801054",CONCENTRADO DE TOMATE 4X6X110 GR.,CAJA,28.342000
"20100035121","801317",CANONAZO 8X24X19 GR.,CAJA,76.321200
"20100035121","801308",GALLETAS CHOCODONUTS REGALO 12X135 GR,CAJA,43.042222
"20100035121","801301",ZEUS ADULTOS RAF 25KG,BOLSA,94.501333
"20100035121","801302",MOLITALIA TALLARIN 20X450 GR,BOLSA,51.490000
"20100035121","801165",CONCENT. ESPINACA ALBAHACA 4X6X170 GR.,MILLON,2.760000
"20100035121","801218",BIZCOCHO CHOCMAN DOBLE MANJAR  8X6X50 GR,CAJA,39.942000
"20100035121","801149",CONCENTRADO DE TOMATE 32X6X70 GR.,CAJA,165.414600
"20100035121","801162",GALLETA CARITAS 16X6X31.5 GR,CAJA,46.883167
"20100035121","801324",MIMASKOT SNACK CHULETAS 15X50GR,CAJA,60.275000
"20100035121","801313",FANNY MERM. FRESA BARRIL H 6X950G,CAJA,59.495833
"20100035121","801322",MARCO POLO TALLARIN 20X450 GR.,BOLSA,38.363333
"20100035121","801321",MARCO POLO SPAGHETTI 20X450 GR,BOLSA,38.363150
"20100035121","801207",COSTA VIZZIO  60 X 69 GR.,CAJA,218.991250
"20100035121","801293",FANNY VASO DELIFRESA  12X290 GR.,CAJA,43.830556
"20100035121","801179",SALSA A LA BOLOGNESA 10X370GR,CAJA,34.786000
"20100035121","801261",GALLETA FRAC CLASICA 12X6X41 GR.,CAJA,43.740000
"20100035121","801332",GALLETA CHIPS CHOCOLATE 12X6X34GR,CAJA,43.742500
