"RucProveedor","CodProducto","CodProducto2","CodProducto3","Producto","UnidaMedidaCompra","FactorVenta","FactorConversion","PesoUnitario","PesoCaja","CostoCaja"
"20514584789","01034195","","","017-ZUKO LIMONADA 2L 8DISPX12UNDX15G",CAJA,8.0000,8.0000,0.0000000000000000000,0.0000,69.6457120000
"20514584789","01035685","","","017-CAFE SELLO ROJO TYM 10X490G EC",CAJA,10.0000,10.0000,0.0000000000000000000,0.0000,109.1265000000
"20514584789","01038130","","","017-GLINA. WINTERS KREMANI 6PLEGX12UNX42G PE",CAJA,6.0000,6.0000,0.0000000000000000000,0.0000,100.0200000000
"20514584789","01038132","","","017-GLINA. WINTERS FLOW 12PLEGX6UNX48G PE",CAJA,12.0000,12.0000,0.0000000000000000000,0.0000,100.0200000000
"20514584789","01042076","","","017-PASAB. GRANUTS MEZARAND 8 PLEX12UX50G PE",CAJA,8.0000,8.0000,0.0000000000000000000,0.0000,194.9400000000
"20514584789","01044314","","","017-GLINA. CHIN CHIN CJA CN 24DP X16UX30G",CAJA,24.0000,24.0000,0.0000000000000000000,0.0000,261.1810080000
"20514584789","01047648","","","017-GLINA. WINTERS WAFER 16PLEX8UNDX22G",CAJA,16.0000,16.0000,0.1800000000000000000,2.8160,64.9940000000
"20514584789","01050061","","","017-GLINA. CHINCHIN BOL 24DP X16U X32G",CAJA,24.0000,24.0000,0.5100000000000000000,12.2880,260.9400000000
"20514584789","01056631","","","017-COCOA WINTERS BS 60UND X43GR",BOLSA,60.0000,60.0000,0.0000000000000000000,0.0000,98.4403200000
"20514584789","01057538","","","017-CAFE SELLO ROJO 850G INTER",CAJA,10.0000,10.0000,0.8500000000000000000,8.5000,297.0887500000
"20514584789","01057719","","","017-GLINA. MINI CHIN CHIN CN 10BSX750G",CAJA,10.0000,10.0000,0.7500000000000000000,7.5000,183.3800000000
"20514584789","01058230","","","017-GTA. PICARAS MENTA 30BSX6UX40G",CAJA,30.0000,30.0000,0.0000000000000000000,0.0000,123.3699900000
"20514584789","01060662","","","017-CF. MONTERREY PERU 12X190G",CAJA,12.0000,12.0000,0.0900000000000000000,1.0800,154.1813040000
"20514584789","01063068","","","017-GTA PICARAS FRESA NL CORAZON 30BS X 6UND X 40GR",CAJA,30.0000,30.0000,0.2400000000000000000,7.2000,123.3699900000
"20514584789","01066689","","","013-GTA.PICARAS EXTREMA PACK PROMO 30BSX6UX40G",CAJA,30.0000,30.0000,0.2400000000000000000,7.2000,123.3690000000
"20514584789","01068588","","","017-CF. MONTERREY PERU PROMO 4-54X5GR",CAJA,4.0000,4.0000,0.0000000000000000000,0.0000,81.6040800000
